;Player_Name;Transcription_Text
0;MATT;Welcome back, everyone, to the next episode of Critical Role! This week, we have a full party.|We'll be continuing just after the climactic battle with the twisted beholder, K'varn. We're going to go ahead and play a couple of videos here while we're waiting for the rest of the party members to settle in, so we'll be back here in just a few minutes. Sit tight and we'll get this party started. We have some fun announcements, some cool gifts that came in we'll be opening towards the end of the session today, but we'll go into those details shortly, so see you in a little bit.|[dramatic music]
1;TRAVIS;Right, Listen up! If you have ale, then you have a friend in Grog Strongjaw. A goliath of towering height and size, this barbarian has an appetite for the two great loves in his life: combat, women, and ale! (chuckle) (record scratch) Wait.|Easily the brains of the group, Grog is often consulted for his vast knowledge of shapes, colors, and (chuckle) shiny things! Also ale.|In his early years, armed with his two-handed great axe, Grog often enjoyed proving his might amongst the ranks of his family's wandering herd.|But after coming upon an unsuspecting elderly gnome in the woods, he objected to the killing of such an innocent life. A creature of impulse, Grog felt only pity for this-- well, this terrified little thing. And his disobedience cost him dearly.|Beaten bloody and banished by the herd leader, his uncle Kevdak, Grog was abandoned and left to die, exiled from his herd. It was then that the relative of the very gnome he fought to save, saved him. It was the kindness of a gnome cleric named Pike that healed Grog, bringing him back from death's edge. And they have remained close friends ever since.|Most nights, Grog can be found challenging entire taverns to wrestling matches! Ha! Or accompanying Scanlan to the nearest house where you pay for lady favors.|Also ale!
2;MARISHA;A first impression of Keyleth would leave you with little information on the half-elven druid. You might even think that her social awkwardness due to her sheltered upbringing is kind of sweet. (chuckle) Of course, it would be unwise to underestimate her based on first impressions. (thunder) Under that unintimidating petite frame is a vicious beast waiting to be unleashed, whose natural powers have made even the fiercest of champions pee their pants, literally! (soft chuckle) Born to the Air Tribe of the Ashari people, Keyleth was raised with a deep love of nature and the elemental magics. It is her people's inherent duty to protect the delicate areas in Tal'Dorei where the four elemental planes begin to bleed with this realm.|Since she was a little girl, she had quite a knack for air manipulation and beast shaping abilities.|Well, if you consider kittens and flying squirrels to be little beasts. Which, I do. (clears throat) Anyways, it wasn't long before the headmaster of the tribe, her father, Korren, realized her true prodigious abilities and she was inveterated to succeed him as the next headmaster.|Just like that, her jovial childhood was stripped and replaced with endless spell memorization, teachings from ancient traditions, and exceedingly high expectations. Every druid leader to be must embark on a journey to seek out the sister tribes in order to introduce and establish respect amongst the fellow headmasters. They call this the Aramente, or Noble Odyssey. When her father felt she was ready, he set her on the path to truly discovering herself, not knowing when, or if, she will ever return.|As she hiked down the mountain towards Stillben, she meditated on the task ahead. Part of the Aramente is proving yourself a strong warrior, a valiant protector, and a wise and compassionate leader. With this knowledge, one thought plays on repeat in her mind: Is she even worthy?
3;TALIESIN;Percy was the third of seven children, born to a noble family who lived far to the north in the ancient castle of Whitestone. With so many siblings to share the burdens of lordship, Percy turned his attentions to the sciences, engineering, and naturalism.|One day, a mysterious couple named Lord and Lady Briarwood came to court. During a feast held in their honor, the Briarwoods violently took control of the castle, killing or imprisoning everyone who would stand in their way.|Percy awoke chained in the dungeon, only to be freed by his younger sister. Together they fled, chased by the Briarwoods' men. As they ran, Percy's sister took several arrows to the chest and fell. Percy kept running, eventually jumping into a freezing river and floating unconscious to freedom. He did not remember waking up on a fishing boat. He barely remembered the next two years, as he slowly made his way as far south as possible.|Then one night, Percy had a dream. A roaring cloud of smoke offered him vengeance against those who destroyed his family. When he awoke, Percy began to design his first gun. (gunshot)
4;ASHLEY;Pike grew up on the outskirts of town, near the Bramblewood. Her ancestors were a family of deep gnomes with quite an unfavorable reputation. Thievery, destruction, and trickery left them with the curse of the last name Trickfoot. Sarenrae, the goddess of healing and redemption, had other plans for Pike's great-great-grandfather Wilhand, who left his family at a young age after a dream: a dream that changed the course of the Trickfoot family.|Wilhand devoted his life to Sarenrae and pledged from then on that him and his family would live a life of service and devotion.|As a child, Pike seemed to have an affinity to heal. Whether it was animals, people, or even flowers, she felt she had a purpose in making things whole that had once been broken. She studied and learned the ways to heal though divine magic.|She lived a peaceful life, quiet and simple, until one day, Wilhand was captured and almost killed by a group of goliath barbarians. One of the goliaths took a stand against the murder of the innocent gnome and he himself was beaten, bloodied, and left for dead, abandoned by his herd. Wilhand went to Pike for help. She prayed and healed this barbarian as best she could, bringing him back to life.|When he awoke, she discovered his name was Grog Strongjaw. After that, they were the best of friends, a rather unlikely pair. Little did she know that in a few years' time, Grog would soon return the favor and bring her back from the clutches of death. (roar, crunch) After being killed in battle, Pike felt angry. She wanted to be stronger so that it would never happen again. She spent four months at sea training with the men and women aboard a ship called the Broken Howl.|Gripping her holy symbol in one hand, and her morningstar in the other, this time, Pike is ready.
5;SAM;Oh, you haven't heard of Scanlan Shorthalt? Well, gird your loins, ladies, because he has his eye on you.|A talented musician, master of disguise, and dashingly handsome in his own mind, Scanlan sings songs almost as much as he sings his own praises.|Born a poor gnome, Scanlan used his endless charm and soaring tenor voice to croon for coin and support his single mother. One day he was discovered by a half-orc promoter and joined Dr.|Dranzel's Spectacular Traveling Troupe, where he learned the ways of the world and honed his skills as a bard extraordinaire.|A loner much of his life, Scanlan has never quite come to terms with the violent death of his mother at the hands of a goblin invasion. While his years on the road provided many, shall we say, educational experiences with the opposite sex, deep down, Scanlan yearns for the one thing he's never known: the true love of a fellow gnome.|Still, Scanlan considers himself a lover first, performer second, and fighter distant third. On the battlefield, he'll support his allies, but rarely draws blood, unless it's to protect fellow gnome, Pike.|Count on Scanlan for a hearty laugh, a rollicking song, and a twinkle in his eye that melts hearts and makes the females swoon.
6;ORION;Greetings and salutations. I am Tiberius Stormwind. I hail from a town called Ty'rex, located in the heart of Draconia.|From a politically respected family, at the age of 15, I succeeded in passing the Sorcerer's Rite, showing prodigy-like control of my magic. The judges and the Draconian high council were amazed at how powerful my spells were for how long I had been training. At 20 years old, I was the youngest appointed member of the magic guild in Draconian history. For the next few years, I almost went mad from the malaise of being a guild member, as it's rather boring.|However, one day I happened upon a chamber, unused for quite some time. In the room were stacks of books and maps of the surrounding cities and areas around the known world. For months, I would frequent the chamber, and learned of artifacts from legend.|After a long period of research, I made a list of artifacts that caught my eye. I brought these findings to the high council and was told that all of the information in the chamber I had stumbled upon was either believed to be fiction, or unsolvable mysteries, and hence were lost forever.|I found those answers to be unacceptable.|A year later, I devised a ruse and managed to convince the city council to lend support in me leaving Draconia on a mission of peace and diplomacy for the surrounding kingdoms, going from town to town and making friends and allies, in and for the name of Draconia. Being a red dragonborn, I had quite the task on my hands in that respect, but it was exactly what I needed so I could explore the world and find these artifacts, as I felt the truth was out there.|Some may describe me as buffoonish, but I say poppycock to all that. I am much sharper than most give me credit for. I just don't pay attention to things sometimes. I've also been known to be rather cunning, loyal, happy-go-lucky, and well, dangerous. I can't help but show my true scales every now and then. But overall, I think I'm quite friendly for a dragonborn!
7;LIAM;Never entirely welcome in the company of elves or men, Vax'ildan learned at a young age to skip past formality, preferring instead to invite himself in your door.|Along with twin sister Vex'ahlia, Vax was born by a chance encounter between elven royalty and human peasantry. Raised by their mother in their early years, the twins were eventually sent off to their father in the elven capital of Syngorn. But their cool reception among the elves there never warmed, and their time in the capital didn't last. The siblings stole away one autumn night and set out on the open road.|After a few years of wandering, they eventually decided to return to their mother, and journeyed back to the lands of their youth. But instead of finding their childhood home, they returned to a pile of rubble. Their mother was gone, their home burned to ash. Pressing the townspeople for answers, they learned of the day the dragon came.|(roar) With their ties all severed, Vax'ildan and his sister set out to find their fortune together in Tal'Dorei.|An outsider since birth, Vax quickly learned to solve life's challenges in his own particular way, often by side-stepping them entirely. And when his knack for circumventing adversity isn't enough, (knife scraping) the way of blades the elves schooled him in more than makes up the difference.
8;LAURA;"Like so many half-elves, Vex'ahlia has spent most of her life suffering the cool reception of a people who don't fully accept her.|Born of a human mother and an elven father who only later in life took an interest in their existence, Vex'ahlia and her twin brother Vax'ildan quickly realized the only people they could truly rely on in this world were each other.|It was at the age of ten when the two were taken from their mother and brought to live in Syngorn, the isolated elven city for which their father was an ambassador. He quietly took them in, but always kept an icy distance, and after too many years of disdainful looks, the pair decided to leave his indifference behind, and set out on their own.|Vax took to the cities, stealing small trinkets and learning the ways of the thief, while Vex kept to the woods; she preferred the isolation.|Always the keen observer, she learned to hunt and to track, to spy and to shoot. And through a series of fateful events, earned herself a companion in the form of a bear-- her own stolen Trinket-- to fight alongside her and protect her fiercely.|Also, he is adorable, and gives expert massages.|[dramatic music]"
9;MATT;Hello, guys! Welcome back. Thank you for your patience. We have the whole group, finally seem to have defeated the horrible atrocity that is 13th-level Los Angeles traffic.|(cheering)
10;ZAC;What's up, internet? I've got a quick announcement.
11;MATT;Yes.
12;ZAC;Guys, we have a big giveaway today, when we get to 3,300 subscribers. I think we're 50 away or around 48, something like that. When we get to 3,300, we're giving away a dice box, a signed t-shirt, a starter set, and a signed Player's Handbook all in one box for a lucky winner, so if you guys get those subscribers rolling in, that's what helps pay for this show and pay for the entire channel as a whole, so get on that! And we wanted to say thank you to Aaron's Books in Lancaster County, Pennsylvania for sending us this stuff to give away to you guys.|(cheering)
13;MATT;Seriously guys, seriously, that was so cool of you to send that out there, and we want to say, happy sixth graduation, Aaron, congrats to you, well done.|(cheering)
14;ZAC;Aaron's a little young to be running a bookstore. That's all I have to say.
15;MATT;I consider that a very fine entrepreneurial position. You're getting started young, good man.
16;ZAC;So guys, enjoy the game.
17;MATT;Thank you so much, and thank you again, Aaron and Aaron's books. That's awesome, guys.
18;TRAVIS;Who was that strange masked man just now?
19;MATT;I don't know, it's so weird. Okay, so a couple quick things. First off, thank you guys for coming back and watching. Last week we had a few members away, so we had a fun little mini-game with a few folks, some who had played before, some who hadn't, and it turned out very interestingly.|I hope my DM's tips were helpful for some folks out there. There's been some great feedback, and hopefully we'll do more things like that in the future for off-days. So, thanks to you. Welcome back, we're getting back into the main story line.|Couple other quick things I wanted to mention: first off a big shout-out, birthday shout-out to Kit Buss, our fantastic artist for the show.|(cheering)
20;TRAVIS;Happy Birthday, Kit!
21;ORION;We love you, Kit.
22;ASHLEY;Happy birthday!
23;MATT;She's awesome, she's amazing, and I've seen a couple little previews of the next piece of art she's been working on and it looks pretty awesome.|I think you guys are going to dig it. So she's not done, when she's finished drinking her birthday shots, then I think we'll hopefully see that soon.|(laughs) Awesome, thank you so much, Kit!
24;MARISHA;Yes, shots first, then draw.
25;MATT;Exactly, it's priorities! Also, anyone have any announcements they want to mention before we start the game? Any upcoming stuff?
26;TRAVIS;The Justice League thing!
27;MATT;That's true, yeah! DC Kids on Youtube just released their new Super Friends animated series that both me and Travis are in.
28;ORION;Who are you? Who do you guys play?
29;MATT;Well, you play Lex Luthor.
30;TRAVIS;Lex Luthor, and you play Superman.
31;ORION;Son of a bitch!
32;SAM;Interesting choice.
33;TALIESIN;You can feel the tension.
34;MATT;It's a really, really cute show, it's a lot of fun, it's very much a playback to the classic Super Friends cartoon, that kind of comedic atmosphere. You should check it out.
35;SAM;You're Superman?
36;MATT;Yeah.
37;SAM;(Clarota voice) Does he talk like this?
38;MATT;Yeah, it gets a little weird around episode three. I don't think DC's happy with how we treated the license for that one.|(laughter)
39;TRAVIS;That's the best.
40;MATT;That's every character I do now. Matthew Mercer, reading for Superman: (croaking noise) Also, if anyone else has any other announcements they want to mention?
41;MARISHA, ORION;Yeah!
42;MARISHA;You go first.
43;ORION;Whatchamacallit, a few weeks ago me and Matthew wore these really cool shirts with the vermilion bird from Rubrum, which is in Type-0, the Final Fantasy that we're both in! That shirt was made from Greven, g-r-e-v-e-n, at Redbubble, and we wanted to thank him for those shirts, along with this awesome Final Fantasy shirt, made by August8913, where she did this super cool, it says Nine on the back, his says Trey. Thank you guys, for the really cool shirts.
44;TRAVIS;Aw, yeah! Jumped on the jam, boogie-woogie jam-slam.
45;MARISHA;I'm going to be at Lock and Load this weekend in Seattle, which is the War Machine Hordes con for Privateer Press.
46;TRAVIS;Really?
47;MARISHA;"Yeah! It's awesome, I'm going to be dressed up in my Scar costume. It's going to be awesome, I'm going to be doing a big transformation with Espionage. Yeah, and we're actually going to be pushing the stream; they're going to be streaming it and Geek&Sundry is going to be hosting the Lock and Load stream, so tune in and watch me prance around at Lock and Load in Seattle."
48;TALIESIN;Those are impressive shoes to prance in, by the way.
49;MARISHA;Yeah, some intense stripper heels, yeah.
50;ORION;Who'd you play?
51;MATT;Kreoss.
52;ORION;You were Kreoss, by the way, War Machine Tactics, Matthew Mercer is Kreoss.
53;MATT;Kreoss, Asphyxius, couple other guys.
54;ORION;Yeah, yeah, check it out.
55;MATT;It's fun, it's on Steam.
56;LIAM;Asphyxius?
57;MATT;Asphysius is the character's name, lich lord Asphyxius, he's bad in town.
58;MARISHA;I'm Haley and Deneghra and Fiora.
59;LAURA;We're going to be at MetroCon next weekend.
60;MATT;Awesome! MetroCon next weekend.
61;TRAVIS;(sings) In Tampa.
62;LAURA;(sings) In Tampa, Florida.
63;TRAVIS;Tampa, Florida.
64;MATT;Okay. Real fast, before we get to that, I will be, for those who are near--
65;MARISHA;You already did it?
66;TRAVIS;How many did we have to go?
67;ZAC;50.
